Indice;Algoritmo;D;Tamanho;Tipo;Tempo_ms;Memoria_B
9;D-Heap-Min;2;100;aleatorio;0.0298;624
10;D-Heap-Min;2;100;aleatorio;0.0295;624
11;D-Heap-Min;2;100;aleatorio;0.0298;624
12;D-Heap-Min;2;100;aleatorio;0.0297;624
13;D-Heap-Min;2;100;aleatorio;0.029799;624
14;D-Heap-Min;2;100;aleatorio;0.0479;624
15;D-Heap-Min;2;100;aleatorio;0.03;624
16;D-Heap-Min;2;100;aleatorio;0.0289;624
17;D-Heap-Min;2;100;aleatorio;0.0278;624
18;D-Heap-Min;2;100;aleatorio;0.0299;624
19;D-Heap-Min;2;100;aleatorio;0.03;624
20;D-Heap-Min;2;100;aleatorio;0.029799;624
1;D-Heap-Min;3;100;aleatorio;0.0284;560
2;D-Heap-Min;3;100;aleatorio;0.0253;560
3;D-Heap-Min;3;100;aleatorio;0.0263;560
4;D-Heap-Min;3;100;aleatorio;0.0223;560
5;D-Heap-Min;3;100;aleatorio;0.0235;560
6;D-Heap-Min;3;100;aleatorio;0.0231;560
7;D-Heap-Min;3;100;aleatorio;0.0223;560
8;D-Heap-Min;3;100;aleatorio;0.0224;560
9;D-Heap-Min;3;100;aleatorio;0.023099;560
10;D-Heap-Min;3;100;aleatorio;0.0248;560
11;D-Heap-Min;3;100;aleatorio;0.0227;560
12;D-Heap-Min;3;100;aleatorio;0.0245;560
13;D-Heap-Min;3;100;aleatorio;0.0232;560
14;D-Heap-Min;3;100;aleatorio;0.0234;560
15;D-Heap-Min;3;100;aleatorio;0.0226;560
16;D-Heap-Min;3;100;aleatorio;0.0222;560
17;D-Heap-Min;3;100;aleatorio;0.023;560
18;D-Heap-Min;3;100;aleatorio;0.022699;560
19;D-Heap-Min;3;100;aleatorio;0.0248;560
20;D-Heap-Min;3;100;aleatorio;0.0251;560
1;D-Heap-Min;4;100;aleatorio;0.0288;528
2;D-Heap-Min;4;100;aleatorio;0.0274;528
3;D-Heap-Min;4;100;aleatorio;0.0257;528
4;D-Heap-Min;4;100;aleatorio;0.0257;528
5;D-Heap-Min;4;100;aleatorio;0.0256;528
6;D-Heap-Min;4;100;aleatorio;0.0234;528
7;D-Heap-Min;4;100;aleatorio;0.024499;528
8;D-Heap-Min;4;100;aleatorio;0.0223;528
9;D-Heap-Min;4;100;aleatorio;0.0465;528
10;D-Heap-Min;4;100;aleatorio;0.0229;528
11;D-Heap-Min;4;100;aleatorio;0.0232;528
12;D-Heap-Min;4;100;aleatorio;0.0228;528
13;D-Heap-Min;4;100;aleatorio;0.0233;528
14;D-Heap-Min;4;100;aleatorio;0.0223;528
15;D-Heap-Min;4;100;aleatorio;0.023699;528
16;D-Heap-Min;4;100;aleatorio;0.0246;528
17;D-Heap-Min;4;100;aleatorio;0.0229;528
18;D-Heap-Min;4;100;aleatorio;0.0223;528
19;D-Heap-Min;4;100;aleatorio;0.025;528
20;D-Heap-Min;4;100;aleatorio;0.0244;528
1;D-Heap-Min;8;100;aleatorio;0.0312;496
2;D-Heap-Min;8;100;aleatorio;0.0312;496
3;D-Heap-Min;8;100;aleatorio;0.029599;496
4;D-Heap-Min;8;100;aleatorio;0.0271;496
5;D-Heap-Min;8;100;aleatorio;0.0282;496
6;D-Heap-Min;8;100;aleatorio;0.0294;496
7;D-Heap-Min;8;100;aleatorio;0.0275;496
8;D-Heap-Min;8;100;aleatorio;0.0287;496
9;D-Heap-Min;8;100;aleatorio;0.0286;496
10;D-Heap-Min;8;100;aleatorio;0.0299;496
11;D-Heap-Min;8;100;aleatorio;0.030099;496
12;D-Heap-Min;8;100;aleatorio;0.0298;496
13;D-Heap-Min;8;100;aleatorio;0.0294;496
14;D-Heap-Min;8;100;aleatorio;0.0293;496
15;D-Heap-Min;8;100;aleatorio;0.0279;496
16;D-Heap-Min;8;100;aleatorio;0.029;496
17;D-Heap-Min;8;100;aleatorio;0.0284;496
18;D-Heap-Min;8;100;aleatorio;0.029199;496
