Indice;Algoritmo;Aridade_D;Tamanho;Tipo;Tempo_ms;Memoria_KB;Trocas
17;DHeapMax;4;100;invertido;0;0;332
18;DHeapMax;4;100;invertido;0;0;332
19;DHeapMax;4;100;invertido;0;0;332
20;DHeapMax;4;100;invertido;0;0;332
1;DHeapMax;8;100;invertido;0;0;248
2;DHeapMax;8;100;invertido;0;0;248
3;DHeapMax;8;100;invertido;0;0;248
4;DHeapMax;8;100;invertido;0;0;248
5;DHeapMax;8;100;invertido;0;0;248
6;DHeapMax;8;100;invertido;0;0;248
7;DHeapMax;8;100;invertido;0;0;248
8;DHeapMax;8;100;invertido;0;0;248
9;DHeapMax;8;100;invertido;0;0;248
10;DHeapMax;8;100;invertido;0;0;248
11;DHeapMax;8;100;invertido;0;0;248
12;DHeapMax;8;100;invertido;0;0;248
13;DHeapMax;8;100;invertido;0;0;248
14;DHeapMax;8;100;invertido;0;0;248
15;DHeapMax;8;100;invertido;0;0;248
16;DHeapMax;8;100;invertido;0;0;248
17;DHeapMax;8;100;invertido;0;0;248
18;DHeapMax;8;100;invertido;0;0;248
19;DHeapMax;8;100;invertido;0;0;248
20;DHeapMax;8;100;invertido;0;0;248
1;DHeapMin;2;100;invertido;0;0;640
2;DHeapMin;2;100;invertido;0;0;640
3;DHeapMin;2;100;invertido;0;0;640
4;DHeapMin;2;100;invertido;0;0;640
5;DHeapMin;2;100;invertido;0;0;640
6;DHeapMin;2;100;invertido;0;0;640
7;DHeapMin;2;100;invertido;0;0;640
8;DHeapMin;2;100;invertido;0;0;640
9;DHeapMin;2;100;invertido;0;0;640
10;DHeapMin;2;100;invertido;0;0;640
11;DHeapMin;2;100;invertido;0;0;640
12;DHeapMin;2;100;invertido;0;0;640
13;DHeapMin;2;100;invertido;0;0;640
14;DHeapMin;2;100;invertido;0;0;640
15;DHeapMin;2;100;invertido;0;0;640
16;DHeapMin;2;100;invertido;0;0;640
17;DHeapMin;2;100;invertido;0;0;640
18;DHeapMin;2;100;invertido;0;0;640
19;DHeapMin;2;100;invertido;0;0;640
20;DHeapMin;2;100;invertido;0;0;640
1;DHeapMin;3;100;invertido;0;0;464
2;DHeapMin;3;100;invertido;0;0;464
3;DHeapMin;3;100;invertido;0;0;464
4;DHeapMin;3;100;invertido;0;0;464
5;DHeapMin;3;100;invertido;0;0;464
6;DHeapMin;3;100;invertido;0;0;464
7;DHeapMin;3;100;invertido;0;0;464
8;DHeapMin;3;100;invertido;0;0;464
9;DHeapMin;3;100;invertido;0;0;464
10;DHeapMin;3;100;invertido;0;0;464
11;DHeapMin;3;100;invertido;0;0;464
12;DHeapMin;3;100;invertido;0;0;464
13;DHeapMin;3;100;invertido;0;0;464
14;DHeapMin;3;100;invertido;0;0;464
15;DHeapMin;3;100;invertido;0;0;464
16;DHeapMin;3;100;invertido;0;0;464
17;DHeapMin;3;100;invertido;0;0;464
18;DHeapMin;3;100;invertido;0;0;464
19;DHeapMin;3;100;invertido;0;0;464
20;DHeapMin;3;100;invertido;0;0;464
1;DHeapMin;4;100;invertido;0;0;404
2;DHeapMin;4;100;invertido;0;0;404
3;DHeapMin;4;100;invertido;0;0;404
4;DHeapMin;4;100;invertido;0;0;404
5;DHeapMin;4;100;invertido;0;0;404
6;DHeapMin;4;100;invertido;0;0;404
7;DHeapMin;4;100;invertido;0;0;404
8;DHeapMin;4;100;invertido;0;0;404
9;DHeapMin;4;100;invertido;0;0;404
10;DHeapMin;4;100;invertido;0;0;404
11;DHeapMin;4;100;invertido;0;0;404
12;DHeapMin;4;100;invertido;0;0;404
13;DHeapMin;4;100;invertido;0;0;404
14;DHeapMin;4;100;invertido;0;0;404
15;DHeapMin;4;100;invertido;0;0;404
16;DHeapMin;4;100;invertido;0;0;404
17;DHeapMin;4;100;invertido;0;0;404
18;DHeapMin;4;100;invertido;0;0;404
19;DHeapMin;4;100;invertido;0;0;404
20;DHeapMin;4;100;invertido;0;0;404
1;DHeapMin;8;100;invertido;0;0;320
2;DHeapMin;8;100;invertido;0;0;320
3;DHeapMin;8;100;invertido;0;0;320
4;DHeapMin;8;100;invertido;0;0;320
5;DHeapMin;8;100;invertido;0;0;320
6;DHeapMin;8;100;invertido;0;0;320
7;DHeapMin;8;100;invertido;0;0;320
8;DHeapMin;8;100;invertido;0;0;320
9;DHeapMin;8;100;invertido;0;0;320
10;DHeapMin;8;100;invertido;0;0;320
11;DHeapMin;8;100;invertido;0;0;320
12;DHeapMin;8;100;invertido;0;0;320
13;DHeapMin;8;100;invertido;0;0;320
14;DHeapMin;8;100;invertido;0;0;320
15;DHeapMin;8;100;invertido;0;0;320
16;DHeapMin;8;100;invertido;0;0;320
17;DHeapMin;8;100;invertido;0;0;320
18;DHeapMin;8;100;invertido;0;0;320
19;DHeapMin;8;100;invertido;0;0;320
20;DHeapMin;8;100;invertido;0;0;320
1;SmoothSort;1;100;invertido;0;0;729
2;SmoothSort;1;100;invertido;0;0;729
3;SmoothSort;1;100;invertido;0;0;729
4;SmoothSort;1;100;invertido;0;0;729
5;SmoothSort;1;100;invertido;0;0;729
6;SmoothSort;1;100;invertido;0;0;729
7;SmoothSort;1;100;invertido;0;0;729
8;SmoothSort;1;100;invertido;0;0;729
9;SmoothSort;1;100;invertido;0;0;729
10;SmoothSort;1;100;invertido;0;0;729
11;SmoothSort;1;100;invertido;0;0;729
12;SmoothSort;1;100;invertido;0;0;729
13;SmoothSort;1;100;invertido;0;0;729
14;SmoothSort;1;100;invertido;0;0;729
15;SmoothSort;1;100;invertido;0;0;729
16;SmoothSort;1;100;invertido;0;0;729
17;SmoothSort;1;100;invertido;0;0;729
18;SmoothSort;1;100;invertido;0;0;729
19;SmoothSort;1;100;invertido;0;0;729
20;SmoothSort;1;100;invertido;0;0;729
1;DHeapMax;2;1000;aleatorio;0;0;9099
2;DHeapMax;2;1000;aleatorio;0;0;9099
3;DHeapMax;2;1000;aleatorio;0;0;9099
4;DHeapMax;2;1000;aleatorio;0;0;9099
5;DHeapMax;2;1000;aleatorio;0;0;9099
6;DHeapMax;2;1000;aleatorio;0;0;9099
7;DHeapMax;2;1000;aleatorio;0;0;9099
8;DHeapMax;2;1000;aleatorio;0;0;9099
